price,location,area
3650000,"Al Barza, Al Bandar, Al Raha Beach, Abu Dhabi",2035
3650000,"Al Barza, Al Bandar, Al Raha Beach, Abu Dhabi",2035
3650000,"Al Barza, Al Bandar, Al Raha Beach, Abu Dhabi",2035
885000,"Burooj Views, Marina Square, Al Reem Island, Abu Dhabi",861
885000,"Burooj Views, Marina Square, Al Reem Island, Abu Dhabi",861
1349998,"The Wave, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi",1345
1349998,"The Wave, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi",1345
2150000,"Reflection, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",1559
2150000,"Reflection, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",1559
1240000,"The Gate Tower 3, The Gate Tower, Shams Gate District, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",1313
1240000,"The Gate Tower 3, The Gate Tower, Shams Gate District, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",1313
6600000,"Azure, Mamsha Al Saadiyat, Saadiyat Cultural District, Saadiyat Island, Abu Dhabi",2371
6600000,"Azure, Mamsha Al Saadiyat, Saadiyat Cultural District, Saadiyat Island, Abu Dhabi",2371
999998,"Oasis Residences One, Oasis Residences, Masdar City, Abu Dhabi",1143
999998,"Oasis Residences One, Oasis Residences, Masdar City, Abu Dhabi",1143
1900000,"Sky Tower, Shams Gate District, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",1625
1900000,"Sky Tower, Shams Gate District, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",1625
800000,"Building 39, Al Reef Downtown, Al Reef, Abu Dhabi",1397
800000,"Building 39, Al Reef Downtown, Al Reef, Abu Dhabi",1397
675000,"Building 10, Al Reef Downtown, Al Reef, Abu Dhabi",1133
675000,"Building 10, Al Reef Downtown, Al Reef, Abu Dhabi",1133
3300000,"Al Hadeel, Al Raha Beach, Abu Dhabi",2387
3300000,"Al Hadeel, Al Raha Beach, Abu Dhabi",2387
2600000,"Mayan 5, Mayan, Yas Island, Abu Dhabi",1528
2600000,"Mayan 5, Mayan, Yas Island, Abu Dhabi",1528
725000,"Marina Bay By DAMAC, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi",818
725000,"Marina Bay By DAMAC, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi",818
2050000,"Amaya Towers, Al Reem Island, Abu Dhabi",1916
2050000,"Amaya Towers, Al Reem Island, Abu Dhabi",1916
780000,"Marina Bay By DAMAC, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi",1220
780000,"Marina Bay By DAMAC, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi",1220
1500000,"Al Sana 2, Al Sana, Al Muneera, Al Raha Beach, Abu Dhabi",1556
1500000,"Al Sana 2, Al Sana, Al Muneera, Al Raha Beach, Abu Dhabi",1556
600000,"Julphar Residence, Al Reem Island, Abu Dhabi",406
600000,"Julphar Residence, Al Reem Island, Abu Dhabi",406
9500000,"Turquoise, Mamsha Al Saadiyat, Saadiyat Cultural District, Saadiyat Island, Abu Dhabi",1998
9500000,"Turquoise, Mamsha Al Saadiyat, Saadiyat Cultural District, Saadiyat Island, Abu Dhabi",1998
960000,"Building 15, Al Reef Downtown, Al Reef, Abu Dhabi",1570
960000,"Building 15, Al Reef Downtown, Al Reef, Abu Dhabi",1570
1450000,"Al Zeina Building A, Al Zeina, Al Raha Beach, Abu Dhabi",945
1450000,"Al Zeina Building A, Al Zeina, Al Raha Beach, Abu Dhabi",945
2500000,"Pixel, Makers District, Al Reem Island, Abu Dhabi",1868
2500000,"Pixel, Makers District, Al Reem Island, Abu Dhabi",1868
2550000,"Mayan 2, Mayan, Yas Island, Abu Dhabi",1715
2550000,"Mayan 2, Mayan, Yas Island, Abu Dhabi",1715
550000,"Al Reef Downtown, Al Reef, Abu Dhabi",861
550000,"Al Reef Downtown, Al Reef, Abu Dhabi",861
850000,"Sun Tower, Shams Gate District, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",950
850000,"Sun Tower, Shams Gate District, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",950
850000,"Water's Edge, Yas Island, Abu Dhabi",820
850000,"Water's Edge, Yas Island, Abu Dhabi",820
850000,"Water's Edge, Yas Island, Abu Dhabi",820
809999,"Water's Edge, Yas Island, Abu Dhabi",685
809999,"Water's Edge, Yas Island, Abu Dhabi",685
550000,"Hydra Avenue, Al Reem Island, Abu Dhabi",557
550000,"Hydra Avenue, Al Reem Island, Abu Dhabi",557
1000000,"Water's Edge, Yas Island, Abu Dhabi",688
1000000,"Water's Edge, Yas Island, Abu Dhabi",688
755000,"Burooj Views, Marina Square, Al Reem Island, Abu Dhabi",861
755000,"Burooj Views, Marina Square, Al Reem Island, Abu Dhabi",861
525000,"Al Ghadeer Phase 2, Al Ghadeer, Abu Dhabi",662
525000,"Al Ghadeer Phase 2, Al Ghadeer, Abu Dhabi",662
950000,"Building 1, Al Reef Downtown, Al Reef, Abu Dhabi",1436
950000,"Building 1, Al Reef Downtown, Al Reef, Abu Dhabi",1436
950000,"Reflection, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",706
950000,"Reflection, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",706
1300000,"Al Naseem Residence C, Al Naseem, Al Bandar, Al Raha Beach, Abu Dhabi",753
1300000,"Al Naseem Residence C, Al Naseem, Al Bandar, Al Raha Beach, Abu Dhabi",753
785000,"Tala Tower, Marina Square, Al Reem Island, Abu Dhabi",936
785000,"Tala Tower, Marina Square, Al Reem Island, Abu Dhabi",936
760000,"Marina Blue Tower, Marina Square, Al Reem Island, Abu Dhabi",807
760000,"Marina Blue Tower, Marina Square, Al Reem Island, Abu Dhabi",807
1500000,"Water's Edge, Yas Island, Abu Dhabi",1226
1500000,"Water's Edge, Yas Island, Abu Dhabi",1226
1000000,"Marina Bay By DAMAC, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi",1210
1000000,"Marina Bay By DAMAC, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi",1210
1420976,"Gardenia Bay, Yas Island, Abu Dhabi",818
1420976,"Gardenia Bay, Yas Island, Abu Dhabi",818
2350000,"The Wave, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi",1929
2350000,"The Wave, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi",1929
643067,"Reeman Living, Al Reeman 1, Al Shamkha, Abu Dhabi",454
643067,"Reeman Living, Al Reeman 1, Al Shamkha, Abu Dhabi",454
399000,"Al Mahra Residence, Masdar City, Abu Dhabi",502
399000,"Al Mahra Residence, Masdar City, Abu Dhabi",502
2000000,"Soho Square, Saadiyat Island, Abu Dhabi",1247
2000000,"Soho Square, Saadiyat Island, Abu Dhabi",1247
670000,"Hydra Avenue Towers, City of Lights, Al Reem Island, Abu Dhabi",820
670000,"Hydra Avenue Towers, City of Lights, Al Reem Island, Abu Dhabi",820
1277852,"Reem Hills, Al Reem Island, Abu Dhabi",1331
1277852,"Reem Hills, Al Reem Island, Abu Dhabi",1331
1000000,"Marina Bay By DAMAC, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi",1356
1000000,"Marina Bay By DAMAC, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi",1356
2409971,"Tower B, Marlin, Al Reem Island, Abu Dhabi",1550
2409971,"Tower B, Marlin, Al Reem Island, Abu Dhabi",1550
730000,"Diva, Yas Island, Abu Dhabi",429
730000,"Diva, Yas Island, Abu Dhabi",429
1001000,"Soho Square Residences, Soho Square, Saadiyat Island, Abu Dhabi",837
1001000,"Soho Square Residences, Soho Square, Saadiyat Island, Abu Dhabi",837
685000,"Water's Edge, Yas Island, Abu Dhabi",474
685000,"Water's Edge, Yas Island, Abu Dhabi",474
685000,"Water's Edge, Yas Island, Abu Dhabi",474
850000,"Oasis Residences Two, Oasis Residences, Masdar City, Abu Dhabi",730
850000,"Oasis Residences Two, Oasis Residences, Masdar City, Abu Dhabi",730
1750000,"Marlin, Al Reem Island, Abu Dhabi",1549
1750000,"Marlin, Al Reem Island, Abu Dhabi",1549
1740000,"Marlin, Al Reem Island, Abu Dhabi",1549
1740000,"Marlin, Al Reem Island, Abu Dhabi",1549
2055000,"Marlin, Al Reem Island, Abu Dhabi",2009
2055000,"Marlin, Al Reem Island, Abu Dhabi",2009
1610000,"Al Sail Tower, Al Dana, Al Raha Beach, Abu Dhabi",1313
1610000,"Al Sail Tower, Al Dana, Al Raha Beach, Abu Dhabi",1313
1579500,"Soho Square Residences, Soho Square, Saadiyat Island, Abu Dhabi",1268
1579500,"Soho Square Residences, Soho Square, Saadiyat Island, Abu Dhabi",1268
950000,"Al Sana, Al Muneera, Al Raha Beach, Abu Dhabi",896
950000,"Al Sana, Al Muneera, Al Raha Beach, Abu Dhabi",896
780000,"Meera Shams Tower 1, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",686
780000,"Meera Shams Tower 1, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",686
1600000,"Sea La Vie, Yas Island, Abu Dhabi",772
1600000,"Sea La Vie, Yas Island, Abu Dhabi",772
500000,"Reeman Living, Al Reeman 1, Al Shamkha, Abu Dhabi",281
500000,"Reeman Living, Al Reeman 1, Al Shamkha, Abu Dhabi",281
500000,"Al Maryah Vista 2, Al Maryah Island, Abu Dhabi",356
500000,"Al Maryah Vista 2, Al Maryah Island, Abu Dhabi",356
928000,"Bloom Living, Zayed City, Abu Dhabi",739
928000,"Bloom Living, Zayed City, Abu Dhabi",739
920000,"Building 5, Al Reef Downtown, Al Reef, Abu Dhabi",1402
920000,"Building 5, Al Reef Downtown, Al Reef, Abu Dhabi",1402
685893,"Reeman Living, Al Reeman 1, Al Shamkha, Abu Dhabi",485
685893,"Reeman Living, Al Reeman 1, Al Shamkha, Abu Dhabi",485
648000,"Selina Bay, Yas Bay, Yas Island, Abu Dhabi",450
648000,"Selina Bay, Yas Bay, Yas Island, Abu Dhabi",450
1520000,"Yas Golf Collection, Yas Island, Abu Dhabi",885
1520000,"Yas Golf Collection, Yas Island, Abu Dhabi",885
765000,"Royal Park, Masdar City, Abu Dhabi",1160
765000,"Royal Park, Masdar City, Abu Dhabi",1160
1200000,"MAG 5 Residence (B2 Tower), Marina Square, Al Reem Island, Abu Dhabi",1356
1200000,"MAG 5 Residence (B2 Tower), Marina Square, Al Reem Island, Abu Dhabi",1356
1030000,"Selina Bay, Yas Bay, Yas Island, Abu Dhabi",1380
1030000,"Selina Bay, Yas Bay, Yas Island, Abu Dhabi",1380
648000,"Selina Bay, Yas Bay, Yas Island, Abu Dhabi",450
648000,"Selina Bay, Yas Bay, Yas Island, Abu Dhabi",450
625200,"Reeman Living, Al Reeman 1, Al Shamkha, Abu Dhabi",485
625200,"Reeman Living, Al Reeman 1, Al Shamkha, Abu Dhabi",485
850000,"Water's Edge, Yas Island, Abu Dhabi",490
850000,"Water's Edge, Yas Island, Abu Dhabi",490
604000,"Royal Park, Masdar City, Abu Dhabi",751
604000,"Royal Park, Masdar City, Abu Dhabi",751
1977000,"Reem Hills, Al Reem Island, Abu Dhabi",1957
1977000,"Reem Hills, Al Reem Island, Abu Dhabi",1957
1977000,"Reem Hills, Al Reem Island, Abu Dhabi",1957
2100000,"Ansam 3, Ansam, Yas Island, Abu Dhabi",1230
2100000,"Ansam 3, Ansam, Yas Island, Abu Dhabi",1230
3600000,"Ajwan Towers, Saadiyat Cultural District, Saadiyat Island, Abu Dhabi",2500
3600000,"Ajwan Towers, Saadiyat Cultural District, Saadiyat Island, Abu Dhabi",2500
793000,"Royal Park, Masdar City, Abu Dhabi",840
793000,"Royal Park, Masdar City, Abu Dhabi",840
480000,"Royal Park, Masdar City, Abu Dhabi",485
480000,"Royal Park, Masdar City, Abu Dhabi",485
850000,"Vista 3, Al Reem Island, Abu Dhabi",544
850000,"Vista 3, Al Reem Island, Abu Dhabi",544
600000,"Vista 3, Al Reem Island, Abu Dhabi",513
600000,"Vista 3, Al Reem Island, Abu Dhabi",513
2110000,"Lamar Residence, Al Raha Beach, Abu Dhabi",1748
2110000,"Lamar Residence, Al Raha Beach, Abu Dhabi",1748
1190000,"Lamar Residence, Al Raha Beach, Abu Dhabi",1030
1190000,"Lamar Residence, Al Raha Beach, Abu Dhabi",1030
1576894,"Gardenia Bay, Yas Island, Abu Dhabi",820
1576894,"Gardenia Bay, Yas Island, Abu Dhabi",820
905000,"Vista 3, Al Reem Island, Abu Dhabi",815
905000,"Vista 3, Al Reem Island, Abu Dhabi",815
1432982,"Gardenia Bay, Yas Island, Abu Dhabi",874
1432982,"Gardenia Bay, Yas Island, Abu Dhabi",874
604724,"Royal Park, Masdar City, Abu Dhabi",573
604724,"Royal Park, Masdar City, Abu Dhabi",573
4500000,"Fairmont Marina Residences, The Marina, Abu Dhabi",1518
4500000,"Fairmont Marina Residences, The Marina, Abu Dhabi",1518
793687,"Royal Park, Masdar City, Abu Dhabi",840
793687,"Royal Park, Masdar City, Abu Dhabi",840
1250000,"Water's Edge, Yas Island, Abu Dhabi",1070
1250000,"Water's Edge, Yas Island, Abu Dhabi",1070
677640,"Diva, Yas Island, Abu Dhabi",514
677640,"Diva, Yas Island, Abu Dhabi",514
1030755,"Selina Bay, Yas Bay, Yas Island, Abu Dhabi",906
1030755,"Selina Bay, Yas Bay, Yas Island, Abu Dhabi",906
630000,"Radiant Square, City of Lights, Al Reem Island, Abu Dhabi",488
630000,"Radiant Square, City of Lights, Al Reem Island, Abu Dhabi",488
1890000,"The Bridges, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",1356
1890000,"The Bridges, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",1356
1400000,"Water's Edge, Yas Island, Abu Dhabi",1070
1400000,"Water's Edge, Yas Island, Abu Dhabi",1070
1000000,"Water's Edge, Yas Island, Abu Dhabi",699
1000000,"Water's Edge, Yas Island, Abu Dhabi",699
1270000,"Reem Hills, Al Reem Island, Abu Dhabi",1331
1270000,"Reem Hills, Al Reem Island, Abu Dhabi",1331
2836056,"Gardenia Bay, Yas Island, Abu Dhabi",1590
2836056,"Gardenia Bay, Yas Island, Abu Dhabi",1590
